etat,marque,annee,prix
Venant,SYM,2015,375000
Neuf,Autre,2023,1
Neuf,Autre,2023,1
Neuf,Autre,2023,1
Neuf,KTM,2023,1
Venant,Honda,2022,5900000
Venant,Yamaha,2023,5000000
Venant,Kymco,2011,2200000
Venant,Piaggio,2018,500000
D'occasion,Honda,2018,1400000
D'occasion,Yamaha,2016,950000
Venant,SYM,2015,375000
D'occasion,BMW,2019,5500000
Venant,Yamaha,2012,900000
Venant,Yamaha,2015,2450000
Neuf,Can Am,2023,5000000
Neuf,Yamaha,2023,6600000
Neuf,Kymco,2019,500000
Venant,Yamaha,2008,400000
Venant,Yamaha,2010,450000
Neuf,Yamaha,2012,500000
Neuf,SYM,2018,400000
Venant,SYM,2015,375000
Venant,Yamaha,2016,500000
D'occasion,Yamaha,2019,2900000
Neuf,Autre,2023,1
Venant,BMW,2018,4200000
Venant,Honda,2019,4250000
Venant,Honda,2018,3500000
Venant,Honda,2019,4250000
Venant,Yamaha,2022,5000000
D'occasion,Kymco,2008,800000
D'occasion,CF Moto,2023,11000000
Venant,SYM,2015,375000
Neuf,KTM,2023,1
Neuf,Yamaha,2021,1800000
D'occasion,Yamaha,2003,920000
Neuf,Autre,2023,1
Neuf,KTM,2019,1600000
D'occasion,CF Moto,2022,11500000
Neuf,Yamaha,2018,650000
Venant,BMW,2017,3000000
Venant,BMW,2020,5900000
Venant,BMW,2023,5900000
Venant,SYM,2015,375000
Neuf,SYM,2013,580000
Neuf,SYM,2014,400000
D'occasion,Piaggio,2012,350000
Venant,BMW,2007,2200000
Venant,Piaggio,2014,750000
Venant,Honda,2021,5750000
Venant,BMW,2022,9500000
Neuf,Honda,2021,1900000
Neuf,Autre,2023,31000
Venant,SYM,2015,375000
Neuf,KTM,2023,650000
Neuf,Bajaj,2023,1
Neuf,Autre,2020,595000
Neuf,KTM,2020,580000
Neuf,Autre,2023,1
Neuf,Autre,2023,1
Neuf,KTM,2023,460000
Neuf,Autre,2023,12000
D'occasion,Piaggio,2012,400000
D'occasion,Honda,2018,2300000
Venant,SYM,2015,375000
D'occasion,Lifan,2023,700000
Venant,Gilera,2006,285000
Venant,Honda,2018,3200000
Venant,Honda,2020,1750000
Venant,Piaggio,2011,800000
D'occasion,TGB,2009,3100000
D'occasion,BMW,2020,4000000
D'occasion,MBK,2008,300000
Venant,Honda,2023,425000
Venant,Kymco,2021,1900000
Venant,SYM,2015,375000
D'occasion,Honda,2021,5000000
Venant,Yamaha,2019,2800000
Neuf,Piaggio,2012,600000
Venant,Honda,2021,1500000
Venant,MBK,2012,200000
D'occasion,Suzuki,2005,375000
Neuf,Autre,2023,305000
Neuf,Honda,2018,3800000
Venant,Suzuki,2017,2200000
Neuf,Yamaha,2008,800000
Venant,SYM,2015,375000
Neuf,Yamaha,2022,4500000
Venant,Yamaha,2021,2300000
Venant,Honda,2016,1300000
Venant,Hyosung,2016,1500000
Venant,Beta,2022,1500000
Neuf,Autre,2023,12000
D'occasion,Autre,2020,300000
Venant,Gilera,2016,200000
Neuf,MBK,2015,250000
Venant,SYM,2018,330000
Venant,SYM,2015,375000
Neuf,SYM,2018,250000
Venant,BMW,2021,4500000
Neuf,Kymco,2012,250000
Neuf,Honda,2022,1400000
Venant,Yamaha,2019,1700000
Venant,Aprilia,2020,180000
Venant,Yamaha,2021,4500000
Venant,Gilera,2003,250000
Neuf,Piaggio,2018,230000
Neuf,MBK,2022,330000
Venant,SYM,2015,375000
Neuf,Piaggio,2017,850000
Venant,Yamaha,2021,3400000
Venant,Honda,2023,1900000
Neuf,KTM,2020,480000
Venant,Kymco,2023,475000
Neuf,Piaggio,2018,480000
Venant,BMW,2023,950000
Venant,BMW,2003,1500000
Venant,SYM,2015,375000
Venant,SYM,2017,320000
Neuf,Kymco,2016,380000
Neuf,Aprilia,2020,250000
D'occasion,KTM,2013,1500000
Venant,Vespa,2016,230000
D'occasion,Honda,2011,400000
Neuf,Vespa,2018,475000
Venant,Honda,2018,3900000
D'occasion,Kymco,2015,800000
Neuf,Honda,2023,595000
Venant,SYM,2015,375000
Venant,BMW,2012,2500000
Venant,Yamaha,2022,3200000
Venant,Gilera,2012,280000
D'occasion,Yamaha,2018,900000
Venant,Piaggio,2020,299000
Neuf,Autre,2022,200000
Venant,Honda,2019,4850000
Venant,Yamaha,2022,2700000
Venant,SYM,2015,375000
D'occasion,Yamaha,2021,3700000
Venant,BMW,2007,2200000
D'occasion,Suzuki,2009,2800000
Neuf,Bajaj,2020,680000
Neuf,Autre,2022,480000
D'occasion,Yamaha,2009,250000
Venant,SYM,2015,375000
D'occasion,Ducati,2009,1500000
Venant,Yamaha,2021,850000
D'occasion,Yamaha,2012,550000
Neuf,Lifan,2022,1
Venant,SYM,2015,375000
Venant,Kymco,2021,1900000
D'occasion,KTM,2017,3000000
Venant,Honda,2021,1950000
Venant,Kymco,2023,425000
D'occasion,Yamaha,2018,2500000
D'occasion,Piaggio,2009,260000
